n,p,seed,ai_depth,num_moves,winner,nodes_explored,elapsed_seconds
10,0.5,0,3,3,1,41,0.000645
10,0.5,1,3,3,1,33,0.000738
10,0.5,2,3,3,1,41,0.000606
10,0.5,3,3,3,1,55,0.000734
10,0.5,4,3,4,2,74,0.000973
10,0.5,5,3,3,1,52,0.000625
10,0.5,6,3,3,1,41,0.000526
10,0.5,7,3,2,2,28,0.00037
10,0.5,8,3,3,1,47,0.001192
10,0.5,9,3,4,2,46,0.001006
10,0.5,10,3,3,1,35,0.000602
10,0.5,11,3,3,1,39,0.000651
10,0.5,12,3,4,2,49,0.000789
10,0.5,13,3,3,1,39,0.000544
10,0.5,14,3,3,1,47,0.000688
10,0.5,15,3,4,2,73,0.000913
10,0.5,16,3,3,1,34,0.000619
10,0.5,17,3,3,1,39,0.000894
10,0.5,18,3,3,1,51,0.000722
10,0.5,19,3,1,1,25,0.00032
10,0.5,20,3,3,1,38,0.000581
10,0.5,21,3,3,1,38,0.000606
10,0.5,22,3,4,2,71,0.001019
10,0.5,23,3,3,1,36,0.000556
10,0.5,24,3,3,1,52,0.000715
10,0.5,25,3,3,1,36,0.00058
10,0.5,26,3,4,2,64,0.000986
10,0.5,27,3,3,1,50,0.000645
10,0.5,28,3,3,1,35,0.000519
10,0.5,29,3,3,1,36,0.000513
10,0.5,30,3,3,1,37,0.000571
10,0.5,31,3,3,1,33,0.000504
10,0.5,32,3,3,1,48,0.000777
10,0.5,33,3,3,1,37,0.000658
10,0.5,34,3,3,1,44,0.0006
10,0.5,35,3,3,1,37,0.000555
10,0.5,36,3,3,1,47,0.000585
10,0.5,37,3,4,2,62,0.001031
10,0.5,38,3,3,1,38,0.000597
10,0.5,39,3,3,1,33,0.000625
10,0.5,40,3,3,1,45,0.000698
10,0.5,41,3,3,1,58,0.000733
10,0.5,42,3,3,1,49,0.00064
10,0.5,43,3,3,1,41,0.000574
10,0.5,44,3,3,1,35,0.000613
10,0.5,45,3,1,1,26,0.000301
10,0.5,46,3,3,1,35,0.000563
10,0.5,47,3,3,1,39,0.000588
10,0.5,48,3,3,1,32,0.000723
10,0.5,49,3,4,2,57,0.001542
10,0.5,50,3,3,1,40,0.000646
10,0.5,51,3,3,1,41,0.000705
10,0.5,52,3,3,1,33,0.000535
10,0.5,53,3,3,1,37,0.00057
10,0.5,54,3,3,1,37,0.000559
10,0.5,55,3,3,1,41,0.000831
10,0.5,56,3,3,1,45,0.000626
10,0.5,57,3,3,1,36,0.000805
10,0.5,58,3,3,1,38,0.000614
10,0.5,59,3,3,1,41,0.000606
10,0.5,60,3,3,1,39,0.000582
10,0.5,61,3,3,1,42,0.000629
10,0.5,62,3,4,2,50,0.000911
10,0.5,63,3,3,1,53,0.000798
10,0.5,64,3,3,1,32,0.000637
10,0.5,65,3,3,1,36,0.000783
10,0.5,66,3,3,1,34,0.000581
10,0.5,67,3,1,1,26,0.000308
10,0.5,68,3,3,1,37,0.000621
10,0.5,69,3,3,1,36,0.0006
10,0.5,70,3,3,1,34,0.000573
10,0.5,71,3,3,1,35,0.00064
10,0.5,72,3,3,1,42,0.000668
10,0.5,73,3,3,1,36,0.000583
10,0.5,74,3,3,1,52,0.000688
10,0.5,75,3,3,1,35,0.000536
10,0.5,76,3,3,1,33,0.00051
10,0.5,77,3,3,1,51,0.000729
10,0.5,78,3,3,1,37,0.000617
10,0.5,79,3,3,1,31,0.000521
