n,p,games,ai_depth,avg_game_length,min_game_length,max_game_length,p1_wins,p1_win_rate,odd_length_games,even_length_games,length_1_count,length_2_count,length_3_count,length_4_count,length_5_count
10,0.5,100,3,3.01,1,4,89,0.89,89,11,4,1,85,10,0
11,0.5,100,3,3.18,1,4,78,0.78,78,22,2,0,76,22,0
12,0.5,100,3,3.16,3,5,86,0.86,86,14,0,0,85,14,1
13,0.5,100,3,3.17,3,5,87,0.87,87,13,0,0,85,13,2
14,0.5,100,3,3.23,3,5,79,0.79,79,21,0,0,78,21,1
15,0.5,100,3,3.35,3,5,73,0.73,73,27,0,0,69,27,4
16,0.5,100,3,3.23,3,5,79,0.79,79,21,0,0,78,21,1
17,0.5,100,3,3.34,3,5,70,0.7,70,30,0,0,68,30,2
18,0.5,100,3,3.3,3,5,72,0.72,72,28,0,0,71,28,1
19,0.5,100,3,3.53,3,5,57,0.57,57,43,0,0,52,43,5
20,0.5,100,3,3.57,3,5,51,0.51,51,49,0,0,47,49,4
