n,p,seed,game_stable_set_size,mis_size,ratio
10,0.1,0,8,9,0.8889
10,0.1,1,5,7,0.7143
10,0.1,2,6,7,0.8571
10,0.1,3,6,7,0.8571
10,0.1,4,7,8,0.875
10,0.1,5,7,7,1.0
10,0.1,6,7,7,1.0
10,0.1,7,5,6,0.8333
10,0.1,8,5,7,0.7143
10,0.1,9,5,7,0.7143
10,0.1,10,7,7,1.0
10,0.1,11,5,6,0.8333
10,0.1,12,5,6,0.8333
10,0.1,13,9,9,1.0
10,0.1,14,8,9,0.8889
10,0.1,15,6,8,0.75
10,0.1,16,6,7,0.8571
10,0.1,17,6,7,0.8571
10,0.1,18,9,9,1.0
10,0.1,19,7,8,0.875
10,0.1,20,7,7,1.0
10,0.1,21,6,7,0.8571
10,0.1,22,6,8,0.75
10,0.1,23,5,6,0.8333
10,0.1,24,6,6,1.0
10,0.1,25,7,7,1.0
10,0.1,26,5,7,0.7143
10,0.1,27,5,7,0.7143
10,0.1,28,7,8,0.875
10,0.1,29,8,9,0.8889
10,0.1,30,6,6,1.0
10,0.1,31,6,7,0.8571
10,0.1,32,5,7,0.7143
10,0.1,33,7,8,0.875
10,0.1,34,8,8,1.0
10,0.1,35,7,7,1.0
10,0.1,36,9,9,1.0
10,0.1,37,5,6,0.8333
10,0.1,38,7,8,0.875
10,0.1,39,7,8,0.875
10,0.1,40,5,8,0.625
10,0.1,41,7,8,0.875
10,0.1,42,4,5,0.8
10,0.1,43,5,6,0.8333
10,0.1,44,4,6,0.6667
10,0.1,45,4,5,0.8
10,0.1,46,7,7,1.0
10,0.1,47,7,7,1.0
10,0.1,48,8,9,0.8889
10,0.1,49,6,8,0.75
10,0.1,50,8,8,1.0
10,0.1,51,8,8,1.0
10,0.1,52,6,6,1.0
10,0.1,53,5,7,0.7143
10,0.1,54,6,8,0.75
10,0.1,55,7,7,1.0
10,0.1,56,5,7,0.7143
10,0.1,57,6,6,1.0
10,0.1,58,7,8,0.875
10,0.1,59,7,7,1.0
10,0.1,60,8,8,1.0
10,0.1,61,8,8,1.0
10,0.1,62,8,8,1.0
10,0.1,63,7,8,0.875
10,0.1,64,6,6,1.0
10,0.1,65,7,8,0.875
10,0.1,66,8,8,1.0
10,0.1,67,5,6,0.8333
10,0.1,68,7,8,0.875
10,0.1,69,6,6,1.0
10,0.1,70,6,8,0.75
10,0.1,71,5,6,0.8333
10,0.1,72,6,7,0.8571
10,0.1,73,6,8,0.75
10,0.1,74,8,8,1.0
10,0.1,75,4,6,0.6667
10,0.1,76,6,7,0.8571
10,0.1,77,4,8,0.5
10,0.1,78,7,8,0.875
10,0.1,79,7,7,1.0
10,0.1,80,7,8,0.875
10,0.1,81,7,8,0.875
10,0.1,82,6,6,1.0
10,0.1,83,6,8,0.75
10,0.1,84,6,8,0.75
