n,p,games,mean_game_size,mean_mis_size,mean_ratio,std_ratio,min_ratio,max_ratio,elapsed_seconds
10,0.1,100,6.34,7.26,0.872,0.1145,0.5,1.0,0.25
10,0.2,100,4.7,5.93,0.7953,0.119,0.5,1.0,0.15
10,0.3,100,3.82,5.06,0.7635,0.1468,0.5,1.0,0.09
10,0.4,100,3.32,4.43,0.7607,0.1374,0.5,1.0,0.08
10,0.5,100,3.01,3.86,0.7952,0.167,0.2,1.0,0.06
15,0.1,100,7.82,9.83,0.7963,0.1122,0.5455,1.0,0.6
15,0.2,100,5.5,7.59,0.7287,0.1275,0.4444,1.0,0.36
15,0.3,100,4.43,6.41,0.6971,0.1141,0.4286,1.0,0.24
15,0.4,100,3.89,5.36,0.7332,0.1182,0.5,1.0,0.17
15,0.5,100,3.35,4.61,0.731,0.1073,0.6,1.0,0.13
20,0.1,100,9.37,11.87,0.7897,0.0868,0.5455,1.0,1.29
20,0.2,100,6.17,9.22,0.6715,0.1101,0.5,0.9,0.73
20,0.3,100,4.77,7.48,0.64,0.092,0.4444,0.8571,0.47
20,0.4,100,4.03,6.15,0.6624,0.0943,0.375,1.0,0.3
20,0.5,100,3.57,5.26,0.684,0.1213,0.4286,1.0,0.23
